Дата,Товар,Количество,Цена за единицу,Сумма,Рейтинг,Комментарий
2025-04-05,Маффин,20,104.0,2080.0,5.0,Сочно и свежо
2025-04-06,Круассан,22,126.0,2772.0,5.0,Шедевр!
2025-04-06,Хлеб ржаной,16,84.0,1344.0,4.7,"Горячие, вкусные"
2025-04-06,Булочка с корицей,22,94.5,2079.0,5.0,Восхитительно
2025-04-06,Пирожок с мясом,19,115.5,2194.5,4.9,Идеально к кофе
2025-04-06,Эклер,21,136.5,2866.5,5.0,Хорошее тесто
2025-04-06,Чизкейк,19,262.5,4987.5,4.7,Лучший чизкейк
2025-04-06,Маффин,24,105.0,2520.0,4.8,Шедевр!
2025-04-07,Круассан,21,127.2,2671.2,5.0,Лучший чизкейк
2025-04-07,Хлеб ржаной,13,84.8,1102.4,4.5,Всегда свежие
2025-04-07,Булочка с корицей,14,95.4,1335.6,4.8,Всегда беру
2025-04-07,Пирожок с мясом,14,116.6,1632.4,4.7,Восхитительно
2025-04-07,Эклер,15,137.8,2067.0,5.0,Шедевр!
2025-04-07,Чизкейк,14,265.0,3710.0,4.8,Мой фаворит
2025-04-07,Маффин,18,106.0,1908.0,5.0,Очень вкусно
2025-04-08,Круассан,14,128.4,1797.6,4.9,Обожаю!
2025-04-08,Хлеб ржаной,13,85.6,1112.8,4.4,Тают во рту
2025-04-08,Булочка с корицей,16,96.3,1540.8,5.0,Очень вкусно
2025-04-08,Пирожок с мясом,11,117.7,1294.7,4.7,Очень вкусно
2025-04-08,Эклер,18,139.1,2503.8,4.6,Всегда свежие
2025-04-08,Чизкейк,16,267.5,4280.0,4.9,Очень вкусно
2025-04-08,Маффин,18,107.0,1926.0,5.0,Лучший чизкейк
2025-04-09,Круассан,16,129.6,2073.6,4.8,Тают во рту
2025-04-09,Хлеб ржаной,10,86.4,864.0,4.5,Сочно и свежо
2025-04-09,Булочка с корицей,16,97.2,1555.2,5.0,"Горячие, вкусные"
2025-04-09,Пирожок с мясом,14,118.8,1663.2,4.8,Шедевр!
2025-04-09,Эклер,18,140.4,2527.2,5.0,Сочно и свежо
2025-04-09,Чизкейк,12,270.0,3240.0,4.5,Мой фаворит
2025-04-09,Маффин,16,108.0,1728.0,5.0,Идеально к кофе
2025-04-10,Круассан,16,130.8,2092.8,5.0,Сочно и свежо
2025-04-10,Хлеб ржаной,10,87.2,872.0,4.5,Сытный
2025-04-10,Булочка с корицей,14,98.1,1373.4,4.6,Обожаю!
2025-04-10,Пирожок с мясом,14,119.9,1678.6,4.4,Просто супер!
2025-04-10,Эклер,18,141.7,2550.6,4.7,Очень вкусно
2025-04-10,Чизкейк,17,272.5,4632.5,4.9,Идеально к кофе
2025-04-10,Маффин,18,109.0,1962.0,4.6,Хороший хлеб
2025-04-11,Круассан,20,132.0,2640.0,4.7,Мой фаворит
2025-04-11,Хлеб ржаной,10,88.0,880.0,4.3,Нормально
2025-04-11,Булочка с корицей,16,99.0,1584.0,5.0,Отличный крем
2025-04-11,Пирожок с мясом,11,121.0,1331.0,4.9,Хорошее тесто
2025-04-11,Эклер,13,143.0,1859.0,5.0,Всегда беру
2025-04-11,Чизкейк,13,275.0,3575.0,4.7,"Горячие, вкусные"
2025-04-11,Маффин,16,110.0,1760.0,4.8,Всегда беру
2025-04-12,Круассан,21,133.2,2797.2,5.0,Сочно и свежо
2025-04-12,Хлеб ржаной,13,88.8,1154.4,4.5,Шедевр!
2025-04-12,Булочка с корицей,23,99.9,2297.7,4.8,Нормально
2025-04-12,Пирожок с мясом,17,122.1,2075.7,4.8,Всегда свежие
2025-04-12,Эклер,26,144.3,3751.8,4.9,Мой фаворит
2025-04-12,Чизкейк,18,277.5,4995.0,5.0,Лучший чизкейк
2025-04-12,Маффин,17,111.0,1887.0,5.0,Идеально к кофе
2025-04-13,Круассан,21,134.4,2822.4,5.0,Сытный
2025-04-13,Хлеб ржаной,16,89.6,1433.6,4.6,Тают во рту
2025-04-13,Булочка с корицей,22,100.8,2217.6,4.7,Тают во рту
2025-04-13,Пирожок с мясом,17,123.2,2094.4,4.8,Чуть пересушен
2025-04-13,Эклер,24,145.6,3494.4,5.0,Хороший хлеб
2025-04-13,Чизкейк,19,280.0,5320.0,4.9,Идеально к кофе
2025-04-13,Маффин,17,112.0,1904.0,5.0,Отличный крем
2025-04-14,Круассан,17,135.6,2305.2,4.6,Всегда беру
2025-04-14,Хлеб ржаной,9,90.4,813.6,4.6,Отличный крем
2025-04-14,Булочка с корицей,15,101.7,1525.5,4.9,Всегда беру
2025-04-14,Пирожок с мясом,14,124.3,1740.2,4.8,Нормально
2025-04-14,Эклер,17,146.9,2497.3,4.7,Нормально
2025-04-14,Чизкейк,16,282.5,4520.0,4.9,Тают во рту
2025-04-14,Маффин,15,113.0,1695.0,4.6,Мой фаворит
2025-04-15,Круассан,21,136.8,2872.8,4.7,Тают во рту
2025-04-15,Хлеб ржаной,13,91.2,1185.6,4.4,Хороший хлеб
2025-04-15,Булочка с корицей,18,102.6,1846.8,4.7,Мой фаворит
2025-04-15,Пирожок с мясом,12,125.4,1504.8,4.9,Сочно и свежо
2025-04-15,Эклер,14,148.2,2074.8,5.0,Хороший хлеб
2025-04-15,Чизкейк,16,285.0,4560.0,4.8,Обожаю!
2025-04-15,Маффин,14,114.0,1596.0,4.7,Сытный
2025-04-16,Круассан,20,138.0,2760.0,4.9,Хорошее тесто
2025-04-16,Хлеб ржаной,9,92.0,828.0,4.7,Нормально
2025-04-16,Булочка с корицей,18,103.5,1863.0,4.9,Обожаю!
2025-04-16,Пирожок с мясом,12,126.5,1518.0,4.5,Лучший чизкейк
2025-04-16,Эклер,15,149.5,2242.5,4.8,Сочно и свежо
2025-04-16,Чизкейк,16,287.5,4600.0,4.6,Хороший хлеб
2025-04-16,Маффин,17,115.0,1955.0,4.9,Нормально
2025-04-17,Круассан,14,139.2,1948.8,4.9,Отличный крем
2025-04-17,Хлеб ржаной,12,92.8,1113.6,4.7,Шедевр!
2025-04-17,Булочка с корицей,16,104.4,1670.4,5.0,Хорошее тесто
2025-04-17,Пирожок с мясом,14,127.6,1786.4,4.8,Лучший чизкейк
2025-04-17,Эклер,18,150.8,2714.4,4.8,Всегда свежие
2025-04-17,Чизкейк,15,290.0,4350.0,4.7,Восхитительно
2025-04-17,Маффин,14,116.0,1624.0,4.7,Всегда беру
2025-04-18,Круассан,14,140.4,1965.6,4.6,Хорошее тесто
2025-04-18,Хлеб ржаной,12,93.6,1123.2,4.8,Хороший хлеб
2025-04-18,Булочка с корицей,15,105.3,1579.5,4.9,Тают во рту
2025-04-18,Пирожок с мясом,16,128.7,2059.2,4.7,Мой фаворит
2025-04-18,Эклер,17,152.1,2585.7,4.8,Всегда свежие
2025-04-18,Чизкейк,15,292.5,4387.5,4.9,Сытный
2025-04-18,Маффин,12,117.0,1404.0,5.0,Лучший чизкейк
2025-04-19,Круассан,25,141.6,3540.0,5.0,Хорошее тесто
2025-04-19,Хлеб ржаной,13,94.4,1227.2,4.8,Идеально к кофе
2025-04-19,Булочка с корицей,19,106.2,2017.8,5.0,"Горячие, вкусные"
2025-04-19,Пирожок с мясом,18,129.8,2336.4,4.9,Тают во рту
2025-04-19,Эклер,23,153.4,3528.2,5.0,"Горячие, вкусные"
2025-04-19,Чизкейк,19,295.0,5605.0,4.7,Обожаю!
2025-04-19,Маффин,20,118.0,2360.0,5.0,"Горячие, вкусные"
2025-04-20,Круассан,21,142.8,2998.8,5.0,Сочно и свежо
2025-04-20,Хлеб ржаной,16,95.2,1523.2,4.5,Хороший хлеб
2025-04-20,Булочка с корицей,20,107.1,2142.0,5.0,Шедевр!
2025-04-20,Пирожок с мясом,21,130.9,2748.9,4.9,Идеально к кофе
2025-04-20,Эклер,22,154.7,3403.4,4.8,Хороший хлеб
2025-04-20,Чизкейк,15,297.5,4462.5,5.0,Всегда беру
2025-04-20,Маффин,22,119.0,2618.0,4.8,Восхитительно
2025-04-21,Круассан,21,144.0,3024.0,4.8,Сочно и свежо
2025-04-21,Хлеб ржаной,12,96.0,1152.0,4.5,Всегда беру
2025-04-21,Булочка с корицей,18,108.0,1944.0,4.9,Очень вкусно
2025-04-21,Пирожок с мясом,14,132.0,1848.0,4.9,Обожаю!
2025-04-21,Эклер,18,156.0,2808.0,4.7,"Горячие, вкусные"
2025-04-21,Чизкейк,16,300.0,4800.0,5.0,Хорошее тесто
2025-04-21,Маффин,18,120.0,2160.0,4.6,Хороший хлеб
2025-04-22,Круассан,15,145.2,2178.0,4.8,Мой фаворит
2025-04-22,Хлеб ржаной,10,96.8,968.0,4.7,Чуть пересушен
2025-04-22,Булочка с корицей,18,108.9,1960.2,4.7,"Горячие, вкусные"
2025-04-22,Пирожок с мясом,12,133.1,1597.2,4.6,Просто супер!
2025-04-22,Эклер,17,157.3,2674.1,5.0,Сытный
2025-04-22,Чизкейк,16,302.5,4840.0,4.6,Мой фаворит
2025-04-22,Маффин,18,121.0,2178.0,4.8,"Горячие, вкусные"
2025-04-23,Круассан,14,146.4,2049.6,5.0,Сытный
2025-04-23,Хлеб ржаной,11,97.6,1073.6,4.8,Мой фаворит
2025-04-23,Булочка с корицей,15,109.8,1647.0,4.8,Нормально
2025-04-23,Пирожок с мясом,13,134.2,1744.6,4.5,Лучший чизкейк
2025-04-23,Эклер,19,158.6,3013.4,5.0,Очень вкусно
2025-04-23,Чизкейк,17,305.0,5185.0,4.5,Очень вкусно
2025-04-23,Маффин,13,122.0,1586.0,4.6,Хорошее тесто
2025-04-24,Круассан,17,147.6,2509.2,4.8,Чуть пересушен
2025-04-24,Хлеб ржаной,10,98.4,984.0,4.5,Чуть пересушен
2025-04-24,Булочка с корицей,16,110.7,1771.2,4.8,Обожаю!
2025-04-24,Пирожок с мясом,12,135.3,1623.6,4.9,"Горячие, вкусные"
2025-04-24,Эклер,14,159.9,2238.6,4.9,Всегда свежие
2025-04-24,Чизкейк,14,307.5,4305.0,4.6,Тают во рту
2025-04-24,Маффин,18,123.0,2214.0,4.6,Сытный
2025-04-25,Круассан,18,148.8,2678.4,4.9,Очень вкусно
2025-04-25,Хлеб ржаной,13,99.2,1289.6,4.3,Мой фаворит
2025-04-25,Булочка с корицей,14,111.6,1562.4,4.9,Сытный
2025-04-25,Пирожок с мясом,12,136.4,1636.8,4.6,Идеально к кофе
2025-04-25,Эклер,20,161.2,3224.0,5.0,Всегда беру
2025-04-25,Чизкейк,13,310.0,4030.0,4.6,Хорошее тесто
2025-04-25,Маффин,17,124.0,2108.0,5.0,"Горячие, вкусные"
2025-04-26,Круассан,22,150.0,3300.0,5.0,Восхитительно
2025-04-26,Хлеб ржаной,18,100.0,1800.0,5.0,Сытный
2025-04-26,Булочка с корицей,21,112.5,2362.5,4.8,Мой фаворит
2025-04-26,Пирожок с мясом,18,137.5,2475.0,5.0,Идеально к кофе
2025-04-26,Эклер,23,162.5,3737.5,5.0,Нормально
2025-04-26,Чизкейк,19,312.5,5937.5,4.9,Всегда беру
2025-04-26,Маффин,24,125.0,3000.0,5.0,Идеально к кофе
2025-04-27,Круассан,21,151.2,3175.2,5.0,Хорошее тесто
2025-04-27,Хлеб ржаной,18,100.8,1814.4,4.8,Восхитительно
2025-04-27,Булочка с корицей,17,113.4,1927.8,5.0,Сытный
2025-04-27,Пирожок с мясом,14,138.6,1940.4,4.9,Отличный крем
2025-04-27,Эклер,19,163.8,3112.2,4.9,Восхитительно
2025-04-27,Чизкейк,18,315.0,5670.0,4.7,"Горячие, вкусные"
2025-04-27,Маффин,17,126.0,2142.0,5.0,Нормально
2025-04-28,Круассан,17,152.4,2590.8,4.8,Мой фаворит
2025-04-28,Хлеб ржаной,11,101.6,1117.6,4.4,Лучший чизкейк
2025-04-28,Булочка с корицей,16,114.3,1828.8,4.9,Идеально к кофе
2025-04-28,Пирожок с мясом,13,139.7,1816.1,4.8,Лучший чизкейк
2025-04-28,Эклер,16,165.1,2641.6,4.6,Мой фаворит
2025-04-28,Чизкейк,12,317.5,3810.0,4.9,Чуть пересушен
2025-04-28,Маффин,18,127.0,2286.0,4.9,Обожаю!
2025-04-29,Круассан,20,153.6,3072.0,4.9,Отличный крем
2025-04-29,Хлеб ржаной,11,102.4,1126.4,4.7,Очень вкусно
2025-04-29,Булочка с корицей,17,115.2,1958.4,4.8,Сочно и свежо
2025-04-29,Пирожок с мясом,16,140.8,2252.8,4.7,Очень вкусно
2025-04-29,Эклер,20,166.4,3328.0,4.6,Шедевр!
2025-04-29,Чизкейк,16,320.0,5120.0,4.6,Тают во рту
2025-04-29,Маффин,13,128.0,1664.0,4.5,Всегда свежие
2025-04-30,Круассан,18,154.8,2786.4,5.0,Чуть пересушен
2025-04-30,Хлеб ржаной,10,103.2,1032.0,4.6,Мой фаворит
2025-04-30,Булочка с корицей,16,116.1,1857.6,4.6,Хороший хлеб
2025-04-30,Пирожок с мясом,15,141.9,2128.5,4.5,Восхитительно
2025-04-30,Эклер,16,167.7,2683.2,4.6,Шедевр!
2025-04-30,Чизкейк,15,322.5,4837.5,4.9,Очень вкусно
2025-04-30,Маффин,17,129.0,2193.0,4.7,Мой фаворит
2025-05-01,Круассан,14,156.0,2184.0,5.0,Просто супер!
2025-05-01,Хлеб ржаной,9,104.0,936.0,4.9,Всегда свежие
2025-05-01,Булочка с корицей,19,117.0,2223.0,4.8,Всегда свежие
2025-05-01,Пирожок с мясом,12,143.0,1716.0,4.6,Всегда беру
2025-05-01,Эклер,17,169.0,2873.0,4.6,Сочно и свежо
2025-05-01,Чизкейк,17,325.0,5525.0,4.9,Хороший хлеб
2025-05-01,Маффин,16,130.0,2080.0,4.8,Всегда свежие
2025-05-02,Круассан,20,157.2,3144.0,5.0,Чуть пересушен
2025-05-02,Хлеб ржаной,9,104.8,943.2,4.5,Сытный
2025-05-02,Булочка с корицей,16,117.9,1886.4,4.8,Отличный крем
2025-05-02,Пирожок с мясом,13,144.1,1873.3,5.0,Сочно и свежо
2025-05-02,Эклер,20,170.3,3406.0,5.0,Сочно и свежо
2025-05-02,Чизкейк,14,327.5,4585.0,5.0,Нормально
2025-05-02,Маффин,13,131.0,1703.0,4.8,Всегда свежие
2025-05-03,Круассан,25,158.4,3960.0,5.0,Нормально
2025-05-03,Хлеб ржаной,14,105.6,1478.4,5.0,Сочно и свежо
2025-05-03,Булочка с корицей,22,118.8,2613.6,5.0,Всегда беру
2025-05-03,Пирожок с мясом,21,145.2,3049.2,4.7,Лучший чизкейк
2025-05-03,Эклер,18,171.6,3088.8,5.0,Лучший чизкейк
2025-05-03,Чизкейк,18,330.0,5940.0,4.9,Просто супер!
2025-05-03,Маффин,24,132.0,3168.0,4.8,"Горячие, вкусные"
2025-05-04,Круассан,26,159.6,4149.6,5.0,Просто супер!
2025-05-04,Хлеб ржаной,15,106.4,1596.0,4.7,Отличный крем
2025-05-04,Булочка с корицей,18,119.7,2154.6,5.0,Мой фаворит
2025-05-04,Пирожок с мясом,19,146.3,2779.7,5.0,Чуть пересушен
2025-05-04,Эклер,17,172.9,2939.3,5.0,"Горячие, вкусные"
2025-05-04,Чизкейк,16,332.5,5320.0,5.0,Шедевр!
2025-05-04,Маффин,18,133.0,2394.0,5.0,Сочно и свежо
2025-05-05,Круассан,21,160.8,3376.8,4.9,Хороший хлеб
2025-05-05,Хлеб ржаной,12,107.2,1286.4,4.8,Просто супер!
2025-05-05,Булочка с корицей,12,120.6,1447.2,4.9,Всегда свежие
2025-05-05,Пирожок с мясом,16,147.4,2358.4,4.7,Мой фаворит
2025-05-05,Эклер,14,174.2,2438.8,5.0,Хорошее тесто
2025-05-05,Чизкейк,16,335.0,5360.0,4.5,Отличный крем
2025-05-05,Маффин,15,134.0,2010.0,5.0,Идеально к кофе
2025-05-06,Круассан,14,162.0,2268.0,5.0,Чуть пересушен
2025-05-06,Хлеб ржаной,10,108.0,1080.0,4.7,Шедевр!
2025-05-06,Булочка с корицей,15,121.5,1822.5,4.5,Отличный крем
2025-05-06,Пирожок с мясом,14,148.5,2079.0,4.8,Нормально
2025-05-06,Эклер,17,175.5,2983.5,5.0,Шедевр!
2025-05-06,Чизкейк,17,337.5,5737.5,4.6,"Горячие, вкусные"
2025-05-06,Маффин,17,135.0,2295.0,4.9,Идеально к кофе
2025-05-07,Круассан,16,163.2,2611.2,5.0,Лучший чизкейк
2025-05-07,Хлеб ржаной,9,108.8,979.2,4.7,Чуть пересушен
2025-05-07,Булочка с корицей,18,122.4,2203.2,4.7,Хороший хлеб
2025-05-07,Пирожок с мясом,15,149.6,2244.0,4.9,Идеально к кофе
2025-05-07,Эклер,14,176.8,2475.2,4.8,Нормально
2025-05-07,Чизкейк,15,340.0,5100.0,4.7,Шедевр!
2025-05-07,Маффин,14,136.0,1904.0,5.0,Лучший чизкейк
2025-05-08,Круассан,20,164.4,3288.0,4.7,Сочно и свежо
2025-05-08,Хлеб ржаной,11,109.6,1205.6,4.4,Всегда беру
2025-05-08,Булочка с корицей,18,123.3,2219.4,5.0,Идеально к кофе
2025-05-08,Пирожок с мясом,11,150.7,1657.7,4.6,Сытный
2025-05-08,Эклер,16,178.1,2849.6,4.7,Просто супер!
2025-05-08,Чизкейк,13,342.5,4452.5,5.0,Восхитительно
2025-05-08,Маффин,17,137.0,2329.0,4.7,Очень вкусно
2025-05-09,Круассан,18,165.6,2980.8,5.0,Хороший хлеб
2025-05-09,Хлеб ржаной,12,110.4,1324.8,4.8,"Горячие, вкусные"
2025-05-09,Булочка с корицей,14,124.2,1738.8,4.7,Шедевр!
2025-05-09,Пирожок с мясом,13,151.8,1973.4,4.6,"Горячие, вкусные"
2025-05-09,Эклер,14,179.4,2511.6,5.0,Мой фаворит
2025-05-09,Чизкейк,14,345.0,4830.0,4.5,"Горячие, вкусные"
2025-05-09,Маффин,17,138.0,2346.0,4.6,Хороший хлеб
2025-05-10,Круассан,20,166.8,3336.0,5.0,Идеально к кофе
2025-05-10,Хлеб ржаной,18,111.2,2001.6,4.9,Чуть пересушен
2025-05-10,Булочка с корицей,22,125.1,2752.2,5.0,Всегда свежие
2025-05-10,Пирожок с мясом,16,152.9,2446.4,5.0,Хорошее тесто
2025-05-10,Эклер,18,180.7,3252.6,5.0,Хороший хлеб
2025-05-10,Чизкейк,21,347.5,7297.5,5.0,Просто супер!
2025-05-10,Маффин,21,139.0,2919.0,5.0,Всегда свежие
2025-05-11,Круассан,25,168.0,4200.0,4.9,Просто супер!
2025-05-11,Хлеб ржаной,16,112.0,1792.0,5.0,Идеально к кофе
2025-05-11,Булочка с корицей,18,126.0,2268.0,5.0,Сочно и свежо
2025-05-11,Пирожок с мясом,19,154.0,2926.0,5.0,Сытный
2025-05-11,Эклер,21,182.0,3822.0,4.8,Всегда свежие
2025-05-11,Чизкейк,19,350.0,6650.0,4.8,Всегда беру
2025-05-11,Маффин,21,140.0,2940.0,5.0,Шедевр!
2025-05-12,Круассан,15,169.2,2538.0,5.0,Всегда свежие
2025-05-12,Хлеб ржаной,9,112.8,1015.2,4.9,Мой фаворит
2025-05-12,Булочка с корицей,13,126.9,1649.7,4.8,Тают во рту
2025-05-12,Пирожок с мясом,14,155.1,2171.4,4.7,Всегда свежие
2025-05-12,Эклер,15,183.3,2749.5,4.8,Сытный
2025-05-12,Чизкейк,14,352.5,4935.0,4.6,Просто супер!
2025-05-12,Маффин,19,141.0,2679.0,5.0,Тают во рту
2025-05-13,Круассан,16,170.4,2726.4,5.0,Восхитительно
2025-05-13,Хлеб ржаной,11,113.6,1249.6,4.4,Хорошее тесто
2025-05-13,Булочка с корицей,16,127.8,2044.8,4.7,Восхитительно
2025-05-13,Пирожок с мясом,15,156.2,2343.0,4.7,Сытный
2025-05-13,Эклер,16,184.6,2953.6,4.8,Тают во рту
2025-05-13,Чизкейк,12,355.0,4260.0,4.9,Идеально к кофе
2025-05-13,Маффин,13,142.0,1846.0,4.7,Сочно и свежо
2025-05-14,Круассан,17,171.6,2917.2,4.7,Отличный крем
2025-05-14,Хлеб ржаной,12,114.4,1372.8,4.9,Идеально к кофе
2025-05-14,Булочка с корицей,13,128.7,1673.1,4.7,Обожаю!
2025-05-14,Пирожок с мясом,11,157.3,1730.3,4.9,Идеально к кофе
2025-05-14,Эклер,17,185.9,3160.3,4.6,Обожаю!
2025-05-14,Чизкейк,17,357.5,6077.5,4.7,Всегда беру
2025-05-14,Маффин,14,143.0,2002.0,4.8,Всегда свежие
2025-05-15,Круассан,21,172.8,3628.8,4.9,"Горячие, вкусные"
2025-05-15,Хлеб ржаной,13,115.2,1497.6,4.3,Отличный крем
2025-05-15,Булочка с корицей,18,129.6,2332.8,5.0,Хороший хлеб
2025-05-15,Пирожок с мясом,15,158.4,2376.0,4.7,Хорошее тесто
2025-05-15,Эклер,14,187.2,2620.8,4.7,Лучший чизкейк
2025-05-15,Чизкейк,13,360.0,4680.0,4.7,Хороший хлеб
2025-05-15,Маффин,13,144.0,1872.0,4.9,"Горячие, вкусные"
2025-05-16,Круассан,17,174.0,2958.0,4.7,Обожаю!
2025-05-16,Хлеб ржаной,12,116.0,1392.0,4.8,Всегда беру
2025-05-16,Булочка с корицей,17,130.5,2218.5,4.8,Чуть пересушен
2025-05-16,Пирожок с мясом,11,159.5,1754.5,4.7,Мой фаворит
2025-05-16,Эклер,18,188.5,3393.0,4.8,Хороший хлеб
2025-05-16,Чизкейк,13,362.5,4712.5,4.9,Лучший чизкейк
2025-05-16,Маффин,16,145.0,2320.0,4.9,Чуть пересушен
2025-05-17,Круассан,19,175.2,3328.8,4.9,"Горячие, вкусные"
2025-05-17,Хлеб ржаной,15,116.8,1752.0,4.9,Тают во рту
2025-05-17,Булочка с корицей,21,131.4,2759.4,5.0,Чуть пересушен
2025-05-17,Пирожок с мясом,21,160.6,3372.6,4.8,Отличный крем
2025-05-17,Эклер,25,189.8,4745.0,4.8,Отличный крем
2025-05-17,Чизкейк,17,365.0,6205.0,5.0,Отличный крем
2025-05-17,Маффин,19,146.0,2774.0,4.9,Лучший чизкейк
2025-05-18,Круассан,24,176.4,4233.6,5.0,Сытный
2025-05-18,Хлеб ржаной,18,117.6,2116.8,4.7,Хорошее тесто
2025-05-18,Булочка с корицей,19,132.3,2513.7,5.0,Мой фаворит
2025-05-18,Пирожок с мясом,16,161.7,2587.2,5.0,Обожаю!
2025-05-18,Эклер,23,191.1,4395.3,4.8,Шедевр!
2025-05-18,Чизкейк,16,367.5,5880.0,5.0,Нормально
2025-05-18,Маффин,22,147.0,3234.0,4.9,Лучший чизкейк
2025-05-19,Круассан,21,177.6,3729.6,4.8,Обожаю!
2025-05-19,Хлеб ржаной,12,118.4,1420.8,4.8,Всегда свежие
2025-05-19,Булочка с корицей,15,133.2,1998.0,4.9,Очень вкусно
2025-05-19,Пирожок с мясом,14,162.8,2279.2,4.8,Лучший чизкейк
2025-05-19,Эклер,13,192.4,2501.2,5.0,Идеально к кофе
2025-05-19,Чизкейк,17,370.0,6290.0,4.7,Сытный
2025-05-19,Маффин,17,148.0,2516.0,4.9,Восхитительно
2025-05-20,Круассан,17,178.8,3039.6,5.0,Мой фаворит
2025-05-20,Хлеб ржаной,14,119.2,1668.8,4.5,Обожаю!
2025-05-20,Булочка с корицей,16,134.1,2145.6,4.5,Чуть пересушен
2025-05-20,Пирожок с мясом,16,163.9,2622.4,5.0,"Горячие, вкусные"
2025-05-20,Эклер,19,193.7,3680.3,4.8,Восхитительно
2025-05-20,Чизкейк,15,372.5,5587.5,4.9,Очень вкусно
2025-05-20,Маффин,17,149.0,2533.0,4.6,Чуть пересушен
2025-05-21,Круассан,19,180.0,3420.0,4.9,Очень вкусно
2025-05-21,Хлеб ржаной,14,120.0,1680.0,4.5,Просто супер!
2025-05-21,Булочка с корицей,16,135.0,2160.0,4.8,Шедевр!
2025-05-21,Пирожок с мясом,15,165.0,2475.0,4.4,Мой фаворит
2025-05-21,Эклер,20,195.0,3900.0,5.0,Тают во рту
2025-05-21,Чизкейк,12,375.0,4500.0,5.0,"Горячие, вкусные"
2025-05-21,Маффин,15,150.0,2250.0,5.0,Идеально к кофе
2025-05-22,Круассан,16,181.2,2899.2,4.7,Шедевр!
2025-05-22,Хлеб ржаной,13,120.8,1570.4,4.9,Обожаю!
2025-05-22,Булочка с корицей,15,135.9,2038.5,4.6,Нормально
2025-05-22,Пирожок с мясом,13,166.1,2159.3,4.6,Тают во рту
2025-05-22,Эклер,18,196.3,3533.4,5.0,Шедевр!
2025-05-22,Чизкейк,14,377.5,5285.0,4.9,Отличный крем
2025-05-22,Маффин,17,151.0,2567.0,4.8,Хорошее тесто
2025-05-23,Круассан,19,182.4,3465.6,5.0,Очень вкусно
2025-05-23,Хлеб ржаной,12,121.6,1459.2,4.4,Восхитительно
2025-05-23,Булочка с корицей,13,136.8,1778.4,4.6,Тают во рту
2025-05-23,Пирожок с мясом,11,167.2,1839.2,5.0,Всегда беру
2025-05-23,Эклер,17,197.6,3359.2,5.0,Отличный крем
2025-05-23,Чизкейк,17,380.0,6460.0,4.6,Чуть пересушен
2025-05-23,Маффин,17,152.0,2584.0,4.7,Просто супер!
2025-05-24,Круассан,20,183.6,3672.0,5.0,Мой фаворит
2025-05-24,Хлеб ржаной,15,122.4,1836.0,4.5,Просто супер!
2025-05-24,Булочка с корицей,20,137.7,2754.0,4.7,Сочно и свежо
